Press ESCAPE to exit.
Next mode started!
Enter WallFollowerMode
color: 0.02
color: 0.02
color: 0.01
color: 0.02
color: 0.02
color: 0.01
color: 0.02
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.02
color: 0.01
color: 0.02
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.03
color: 0.31
color: 0.35
color: 0.27
color: 0.35
color: 0.02
color: 0.01
color: 0.01
color: 0.02
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.02
color: 0.02
color: 0.02
color: 0.02
color: 0.02
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.02
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.01
color: 0.02
color: 0.02
color: 0.02
color: 0.02
color: 0.01
color: 0.01
color: 0.02
color: 0.05
color: 0.05
color: 0.07
color: 0.06
color: 0.07
color: 0.06
color: 0.05
color: 0.11
color: 0.23
color: 0.1
color: 0.01
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
color: 0.0
